index	verb	tense	aspect	mood	voice	category	source
1	urged	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
1	take	PRESENT	SIMPLE	SUBJUNCTIVE	ACTIVE	mood_subjunctive	Brown corpus
2	recommended	PAST	SIMPLE	INDICATIVE	PASSIVE	voice_passive	Brown corpus
3	married	PAST	SIMPLE	INDICATIVE	PASSIVE	voice_passive	Brown corpus
4	said	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
4	agreed	PRESENT	PERFECT	INDICATIVE	PASSIVE	complex	Brown corpus
5	been	PRESENT	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	Brown corpus
6	goes	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Brown corpus
7	expected	PAST	PERFECT	INDICATIVE	PASSIVE	complex	Brown corpus
8	expected	PRESENT	SIMPLE	INDICATIVE	PASSIVE	voice_passive	Brown corpus
9	passed	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
10	received	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
11	smell	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
12	was	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
13	marked	PAST	SIMPLE	INDICATIVE	PASSIVE	voice_passive	Brown corpus
14	said	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
14	made	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
15	was	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
15	passed	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
16	willing	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Brown corpus
17	required	PRESENT	SIMPLE	INDICATIVE	PASSIVE	voice_passive	Brown corpus
18	holds	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Brown corpus
19	served	PRESENT	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	Brown corpus
19	was	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Brown corpus
20	begin	PRESENT	SIMPLE	MODAL	ACTIVE	mood_modal	Brown corpus
21	writes	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	User test data
22	writing	PRESENT	PROGRESSIVE	INDICATIVE	ACTIVE	aspect_progressive	User test data
23	written	PRESENT	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	User test data
